ACCT_ID,ACTIVE_FL,FY_CD_FR,PD_NO_FR,FY_CD_TO,PD_NO_TO,ACCT_ENTR_GRP_CD,PROJ_REQD_FL,S_ACCT_TYPE_CD,DETL_FL,ACCT_NAME,TOP_FL,MODIFIED_BY,TIME_STAMP,L1_ACCT_NAME,L2_ACCT_NAME,L3_ACCT_NAME,L4_ACCT_NAME,L5_ACCT_NAME,L6_ACCT_NAME,L7_ACCT_NAME,LVL_NO,L1_ACCT_SEG_ID,L2_ACCT_SEG_ID,L3_ACCT_SEG_ID,L4_ACCT_SEG_ID,L5_ACCT_SEG_ID,L6_ACCT_SEG_ID,L7_ACCT_SEG_ID,L8_ACCT_SEG_ID,TC_ACCT_TYPE_CD,ROWVERSION,SFT_FL,MES_FL
0120-000,Y,,,,,ALL,N,A,Y,ADVANCES - CREDIT CARD,N,SGOSS,2016-02-14,ADVANCES,ADVANCES - CREDIT CARD,,,,,,2,0120,000,,,,,,,,0,N,N
0120-010,Y,,,,,ALL,N,A,Y,ADVANCES - OTHER,N,SGOSS,2016-02-14,ADVANCES,ADVANCES - OTHER,,,,,,2,0120,010,,,,,,,,0,N,N
0120-020,Y,,,,,ALL,N,A,Y,ADVANCES - TRAVEL,N,LWORTMAN,2016-03-28,ADVANCES,ADVANCES - TRAVEL,,,,,,2,0120,020,,,,,,,E,1,N,N
0120-030,Y,,,,,ALL,N,A,Y,ADVANCES PAYROLL/SALARY,N,SGOSS,2016-02-14,ADVANCES,ADVANCES PAYROLL/SALARY,,,,,,2,0120,030,,,,,,,,0,N,N
0120-040,Y,,,,,ALL,N,A,Y,PAYROLL CLEARING,N,JLAPINGTON,2017-02-28,ADVANCES,PAYROLL CLEARING,0,0,0,0,0,2,0120,040,0,0,0,0,0,0,,1,N,N
0125,N,,,,,,N,,N,ADVANCES-EMPLOYEES,Y,SGOSS,2016-02-14,ADVANCES-EMPLOYEES,0,0,0,0,0,0,1,0125,0,0,0,0,0,0,0,,0,N,N
0125-000,Y,,,,,ALL,N,A,Y,ADVANCES- EMPLOYEE/SALARY,N,JLAPINGTON,2017-02-28,ADVANCES-EMPLOYEES,ADVANCES- EMPLOYEE/SALARY,0,0,0,0,0,2,0125,000,0,0,0,0,0,0,,1,N,N
0130,N,,,,,,N,,N,DEPOSITS,Y,SGOSS,2016-02-14,DEPOSITS,0,0,0,0,0,0,1,0130,0,0,0,0,0,0,0,,0,N,N
0130-010,Y,,,,,ALL,N,A,Y,DEPOSITS,N,JLAPINGTON,2017-02-28,DEPOSITS,DEPOSITS,0,0,0,0,0,2,0130,010,0,0,0,0,0,0,,1,N,N
0135,N,,,,,,N,,N,OTHER ASSETS,Y,SGOSS,2016-02-14,OTHER ASSETS,0,0,0,0,0,0,1,0135,0,0,0,0,0,0,0,,0,N,N
0135-000,Y,,,,,ALL,N,A,Y,OTHER ASSETS,N,49301.ISMAIL.MARMAR,2017-05-17,OTHER ASSETS,OTHER ASSETS,0,0,0,0,0,2,0135,000,0,0,0,0,0,0,,2,N,N
0140,N,,,,,,N,,N,PREPAIDS,Y,SGOSS,2016-02-14,PREPAIDS,0,0,0,0,0,0,1,0140,0,0,0,0,0,0,0,,0,N,N
0140-000,Y,,,,,ALL,N,A,Y,PREPAID AMENITIES,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID AMENITIES,0,0,0,0,0,2,0140,000,0,0,0,0,0,0,,1,N,N
0140-015,Y,,,,,ALL,N,A,Y,PREPAID INSURANCE,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID INSURANCE,0,0,0,0,0,2,0140,015,0,0,0,0,0,0,,1,N,N
0140-020,Y,,,,,ALL,N,A,Y,PREPAID INTEREST,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID INTEREST,0,0,0,0,0,2,0140,020,0,0,0,0,0,0,,1,N,N
0140-030,Y,,,,,ALL,N,A,Y,PREPAID LICENSES AND FEES,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID LICENSES AND FEES,0,0,0,0,0,2,0140,030,0,0,0,0,0,0,,1,N,N
0140-035,Y,,,,,ALL,N,A,Y,PREPAID MAINTENANCE,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID MAINTENANCE,0,0,0,0,0,2,0140,035,0,0,0,0,0,0,,1,N,N
0140-045,Y,,,,,ALL,N,A,Y,PREPAID PARKING,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID PARKING,0,0,0,0,0,2,0140,045,0,0,0,0,0,0,,1,N,N
0140-050,Y,,,,,ALL,N,A,Y,PREPAID RENT,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID RENT,0,0,0,0,0,2,0140,050,0,0,0,0,0,0,,1,N,N
0140-055,Y,,,,,ALL,N,A,Y,PREPAID TAXES,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID TAXES,0,0,0,0,0,2,0140,055,0,0,0,0,0,0,,1,N,N
0140-060,Y,,,,,ALL,N,A,Y,PREPAID TRAVEL,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID TRAVEL,0,0,0,0,0,2,0140,060,0,0,0,0,0,0,,1,N,N
0140-065,Y,,,,,ALL,N,A,Y,PREPAID WORKERS COMP,N,JLAPINGTON,2017-02-28,PREPAIDS,PREPAID WORKERS COMP,0,0,0,0,0,2,0140,065,0,0,0,0,0,0,,1,N,N
0145,N,,,,,,N,,N,DUE FROM ACCOUNTS,Y,SGOSS,2016-02-14,DUE FROM ACCOUNTS,0,0,0,0,0,0,1,0145,0,0,0,0,0,0,0,,0,N,N
0145-000,Y,,,,,ALL,N,A,Y,DUE FROM ACCOUNTS,N,JLAPINGTON,2017-02-28,DUE FROM ACCOUNTS,DUE FROM ACCOUNTS,0,0,0,0,0,2,0145,000,0,0,0,0,0,0,,1,N,N
0145-005,Y,,,,,ALL,N,A,Y,ST NOTES RECEIVABLE,N,JLAPINGTON,2017-02-28,DUE FROM ACCOUNTS,ST NOTES RECEIVABLE,0,0,0,0,0,2,0145,005,0,0,0,0,0,0,,1,N,N
0150,N,,,,,,N,,N,FIXED ASSETS,Y,SGOSS,2016-02-14,FIXED ASSETS,0,0,0,0,0,0,1,0150,0,0,0,0,0,0,0,,0,N,N
0150-000,Y,,,,,ALL,N,A,Y,F/A COMPUTER EQUIPMENT,N,SGOSS,2016-02-14,FIXED ASSETS,F/A COMPUTER EQUIPMENT,,,,,,2,0150,000,,,,,,,,0,N,N
0150-010,Y,,,,,ALL,N,A,Y,F/A  EQUIPMENT,N,SGOSS,2016-02-14,FIXED ASSETS,F/A  EQUIPMENT,,,,,,2,0150,010,,,,,,,,0,N,N
0150-020,Y,,,,,ALL,N,A,Y,F/A FURNITURE,N,SGOSS,2016-02-14,FIXED ASSETS,F/A FURNITURE,,,,,,2,0150,020,,,,,,,,0,N,N
0150-030,Y,,,,,ALL,N,A,Y,F/A COMPUTER SOFTWARE,N,SGOSS,2016-02-14,FIXED ASSETS,F/A COMPUTER SOFTWARE,,,,,,2,0150,030,,,,,,,,0,N,N
0150-040,Y,,,,,ALL,N,A,Y,F/A OTHER EQUIPMENT,N,SGOSS,2016-02-14,FIXED ASSETS,F/A OTHER EQUIPMENT,,,,,,2,0150,040,,,,,,,,0,N,N
0150-050,Y,,,,,ALL,N,A,Y,F/A PHONE EQUIPMENT,N,SGOSS,2016-02-14,FIXED ASSETS,F/A PHONE EQUIPMENT,,,,,,2,0150,050,,,,,,,,0,N,N
0150-060,Y,,,,,ALL,N,A,Y,LEASEHOLD IMPROVEMENTS,N,SGOSS,2016-02-14,FIXED ASSETS,LEASEHOLD IMPROVEMENTS,,,,,,2,0150,060,,,,,,,,0,N,N
0160,N,,,,,,N,,N,ACCUM DEPREC/AMORTIZATION,Y,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,0,0,0,0,0,0,1,0160,0,0,0,0,0,0,0,,0,N,N
0160-000,Y,,,,,ALL,N,A,Y,ACCUM DEPREC COMP EQUIP,N,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC COMP EQUIP,,,,,,2,0160,000,,,,,,,,0,N,N
0160-010,Y,,,,,ALL,N,A,Y,ACCUM DEPR EQUIPMENT,N,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,ACCUM DEPR EQUIPMENT,,,,,,2,0160,010,,,,,,,,0,N,N
0160-020,Y,,,,,ALL,N,A,Y,ACCUM DEPREC FURNITURE,N,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC FURNITURE,,,,,,2,0160,020,,,,,,,,0,N,N
0160-030,Y,,,,,ALL,N,A,Y,ACCUM DEPREC COMP SOFTW,N,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC COMP SOFTW,,,,,,2,0160,030,,,,,,,,0,N,N
0160-040,Y,,,,,ALL,N,A,Y,ACCUM DEPREC OTHER EQUIP,N,SGOSS,2016-02-14,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC OTHER EQUIP,,,,,,2,0160,040,,,,,,,,0,N,N
0160-050,Y,,,,,ALL,N,A,Y,ACCUM DEPREC PHONE EQUIP,N,JLAPINGTON,2017-02-28,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC PHONE EQUIP,0,0,0,0,0,2,0160,050,0,0,0,0,0,0,,1,N,N
0160-060,Y,,,,,ALL,N,A,Y,ACCUM DEPREC LEASEHOLD,N,JLAPINGTON,2017-02-28,ACCUM DEPREC/AMORTIZATION,ACCUM DEPREC LEASEHOLD,0,0,0,0,0,2,0160,060,0,0,0,0,0,0,,1,N,N
0170,N,,,,,,N,,N,LONG TERM INVESTMENTS,Y,SGOSS,2016-02-14,LONG TERM INVESTMENTS,0,0,0,0,0,0,1,0170,0,0,0,0,0,0,0,,0,N,N
0170-000,Y,,,,,ALL,N,A,Y,LONG TERM INVESTMENTS,N,JLAPINGTON,2017-02-28,LONG TERM INVESTMENTS,LONG TERM INVESTMENTS,0,0,0,0,0,2,0170,000,0,0,0,0,0,0,,1,N,N
0180,N,,,,,,N,,N,LT NOTES RECEIVABLE,Y,SGOSS,2016-02-14,LT NOTES RECEIVABLE,0,0,0,0,0,0,1,0180,0,0,0,0,0,0,0,,0,N,N
0180-000,Y,,,,,ALL,N,A,Y,LT NOTES RECEIVABLE,N,JLAPINGTON,2017-02-28,LT NOTES RECEIVABLE,LT NOTES RECEIVABLE,0,0,0,0,0,2,0180,000,0,0,0,0,0,0,,1,N,N
0190,N,,,,,,N,,N,GOODWILL,Y,SGOSS,2016-02-14,GOODWILL,0,0,0,0,0,0,1,0190,0,0,0,0,0,0,0,,0,N,N
0190-000,Y,,,,,ALL,N,A,Y,GOODWILL,N,JLAPINGTON,2017-02-28,GOODWILL,GOODWILL,0,0,0,0,0,2,0190,000,0,0,0,0,0,0,,1,N,N
0191,N,,,,,,N,,N,CONTRACT RIGHTS,Y,SGOSS,2016-02-14,CONTRACT RIGHTS,0,0,0,0,0,0,1,0191,0,0,0,0,0,0,0,,0,N,N
0191-000,Y,,,,,ALL,N,A,Y,CONTRACT RIGHTS,N,JLAPINGTON,2017-02-28,CONTRACT RIGHTS,CONTRACT RIGHTS,0,0,0,0,0,2,0191,000,0,0,0,0,0,0,,1,N,N
0200,N,,,,,,N,,N,ACCOUNTS PAYABLE,Y,SGOSS,2016-02-14,ACCOUNTS PAYABLE,0,0,0,0,0,0,1,0200,0,0,0,0,0,0,0,,0,N,N
0200-000,Y,,,,,ALL,N,L,Y,ACCOUNTS PAYABLE,N,JLAPINGTON,2017-02-28,ACCOUNTS PAYABLE,ACCOUNTS PAYABLE,0,0,0,0,0,2,0200,000,0,0,0,0,0,0,E,2,N,N
0200-010,Y,,,,,ALL,N,L,Y,ACCOUNTS PAYABLE ACCENTUR,N,BADAWII,2018-03-14,ACCOUNTS PAYABLE,ACCOUNTS PAYABLE ACCENTUR,0,0,0,0,0,2,0200,010,0,0,0,0,0,0,,3,N,N
0200-020,Y,,,,,ALL,N,L,Y,ACCOUNTS PAYABLE OTHER,N,JLAPINGTON,2017-02-28,ACCOUNTS PAYABLE,ACCOUNTS PAYABLE OTHER,0,0,0,0,0,2,0200,020,0,0,0,0,0,0,,1,N,N
0200-030,Y,,,,,ALL,N,L,Y,ACCOUNTS PAYABLE-RETAINAG,N,JLAPINGTON,2017-02-28,ACCOUNTS PAYABLE,ACCOUNTS PAYABLE-RETAINAG,0,0,0,0,0,2,0200,030,0,0,0,0,0,0,,1,N,N
0200-040,Y,,,,,ALL,N,L,Y,A/P - PROJECT RETAINAGE,N,JLAPINGTON,2017-02-28,ACCOUNTS PAYABLE,A/P - PROJECT RETAINAGE,0,0,0,0,0,2,0200,040,0,0,0,0,0,0,,1,N,N
0205,N,,,,,,N,,N,CREDIT CARDS,Y,SGOSS,2016-02-14,CREDIT CARDS,0,0,0,0,0,0,1,0205,0,0,0,0,0,0,0,,0,N,N
0205-000,Y,,,,,ALL,N,L,Y,CCARD-BOFA,N,JLAPINGTON,2017-02-28,CREDIT CARDS,CCARD-BOFA,0,0,0,0,0,2,0205,000,0,0,0,0,0,0,E,2,N,N
0205-005,Y,,,,,ALL,N,L,Y,CCARD-AMEX PLUM 81006,N,LWORTMAN,2016-03-28,CREDIT CARDS,CCARD-AMEX PLUM 81006,,,,,,2,0205,005,,,,,,,E,1,N,N
0205-010,Y,,,,,ALL,N,L,Y,CCARD-AMEX CORP,N,LWORTMAN,2016-03-28,CREDIT CARDS,CCARD-AMEX CORP,,,,,,2,0205,010,,,,,,,E,1,N,N
0208,N,,,,,,N,,N,ACCRUED SALARIES,Y,SGOSS,2016-02-14,ACCRUED SALARIES,0,0,0,0,0,0,1,0208,0,0,0,0,0,0,0,,0,N,N
0208-000,Y,,,,,ALL,N,L,Y,ACCRUED SALARIES PAYABLE,N,JLAPINGTON,2017-02-28,ACCRUED SALARIES,ACCRUED SALARIES PAYABLE,0,0,0,0,0,2,0208,000,0,0,0,0,0,0,,1,N,N
0210,N,,,,,,N,,N,PAYROLL WITHHOLDINGS/LIAB,Y,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,0,0,0,0,0,0,1,0210,0,0,0,0,0,0,0,,0,N,N
0210-000,Y,,,,,ALL,N,L,Y,401K LOAN,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,401K LOAN,0,0,0,0,0,2,0210,000,0,0,0,0,0,0,,1,N,N
0210-002,Y,,,,,ALL,N,L,Y,401K EMPLOYEE WITHHOLDING,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,401K EMPLOYEE WITHHOLDING,0,0,0,0,0,2,0210,002,0,0,0,0,0,0,,1,N,N
0210-004,Y,,,,,ALL,N,L,Y,401k ACCRUED EMPLOYER,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,401k ACCRUED EMPLOYER,0,0,0,0,0,2,0210,004,0,0,0,0,0,0,,1,N,N
0210-006,Y,,,,,ALL,N,L,Y,ACCRUED EMPLOYER FICA,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,ACCRUED EMPLOYER FICA,0,0,0,0,0,2,0210,006,0,0,0,0,0,0,,1,N,N
0210-008,Y,,,,,ALL,N,L,Y,ACCRUED FED UNEMPLOYMENT,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,ACCRUED FED UNEMPLOYMENT,0,0,0,0,0,2,0210,008,0,0,0,0,0,0,,1,N,N
0210-010,Y,,,,,ALL,N,L,Y,ACCRUED STATE UNEMPLOY,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,ACCRUED STATE UNEMPLOY,0,0,0,0,0,2,0210,010,0,0,0,0,0,0,,1,N,N
0210-012,Y,,,,,ALL,N,L,Y,ACCRUED WORKERS COMP INS,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,ACCRUED WORKERS COMP INS,0,0,0,0,0,2,0210,012,0,0,0,0,0,0,,1,N,N
0210-014,Y,,,,,ALL,N,L,Y,ACCRUED PAYROLL OTHER,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,ACCRUED PAYROLL OTHER,0,0,0,0,0,2,0210,014,0,0,0,0,0,0,,1,N,N
0210-016,Y,,,,,ALL,N,L,Y,CHILD SUPPORT WITHELD,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,CHILD SUPPORT WITHELD,0,0,0,0,0,2,0210,016,0,0,0,0,0,0,,1,N,N
0210-018,Y,,,,,ALL,N,L,Y,FSA WITHELD,N,BADAWII,2018-01-31,PAYROLL WITHHOLDINGS/LIAB,FSA WITHELD,0,0,0,0,0,2,0210,018,0,0,0,0,0,0,,3,N,N
0210-019,Y,,,,,ALL,N,L,Y,VEHICLE ALLOWANCE,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,VEHICLE ALLOWANCE,0,0,0,0,0,2,0210,019,0,0,0,0,0,0,,1,N,N
0210-020,Y,,,,,ALL,N,L,Y,EMPLOYEE LOAN REPAYMENT,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,EMPLOYEE LOAN REPAYMENT,0,0,0,0,0,2,0210,020,0,0,0,0,0,0,,1,N,N
0210-022,Y,,,,,ALL,N,L,Y,FEDERAL TAX WITHHELD,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,FEDERAL TAX WITHHELD,0,0,0,0,0,2,0210,022,0,0,0,0,0,0,,1,N,N
0210-024,Y,,,,,ALL,N,L,Y,FICA TAX WITHHELD,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,FICA TAX WITHHELD,0,0,0,0,0,2,0210,024,0,0,0,0,0,0,,1,N,N
0210-026,Y,,,,,ALL,N,L,Y,GARNISHMENTS PAYABLE,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,GARNISHMENTS PAYABLE,0,0,0,0,0,2,0210,026,0,0,0,0,0,0,,1,N,N
0210-028,Y,,,,,ALL,N,L,Y,MEDICAL WITHHELD,N,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,MEDICAL WITHHELD,,,,,,2,0210,028,,,,,,,,0,N,N
0210-030,Y,,,,,ALL,N,L,Y,DENTAL WITHHELD,N,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,DENTAL WITHHELD,,,,,,2,0210,030,,,,,,,,0,N,N
0210-031,Y,,,,,ALL,N,L,Y,INCENTIVE COMP PAYABLE,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,INCENTIVE COMP PAYABLE,0,0,0,0,0,2,0210,031,0,0,0,0,0,0,,1,N,N
0210-032,Y,,,,,ALL,Y,L,Y,BONUS PAYABLE,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,BONUS PAYABLE,0,0,0,0,0,2,0210,032,0,0,0,0,0,0,,1,N,N
0210-034,Y,,,,,ALL,N,L,Y,LIFE INSURANCE WITHHELD,N,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,LIFE INSURANCE WITHHELD,,,,,,2,0210,034,,,,,,,,0,N,N
0210-036,Y,,,,,ALL,N,L,Y,MEDICAL 125 WITHHELD,N,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,MEDICAL 125 WITHHELD,,,,,,2,0210,036,,,,,,,,0,N,N
0210-038,Y,,,,,ALL,N,L,Y,VISION WITHHELD,N,SGOSS,2016-02-14,PAYROLL WITHHOLDINGS/LIAB,VISION WITHHELD,,,,,,2,0210,038,,,,,,,,0,N,N
0210-040,Y,,,,,ALL,N,L,Y,PERSONAL INSURANCE,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,PERSONAL INSURANCE,0,0,0,0,0,2,0210,040,0,0,0,0,0,0,,1,N,N
0210-042,Y,,,,,ALL,N,L,Y,TRANSIT & PARKING WITHELD,N,JLAPINGTON,2017-02-28,PAYROLL WITHHOLDINGS/LIAB,TRANSIT & PARKING WITHELD,0,0,0,0,0,2,0210,042,0,0,0,0,0,0,,1,N,N
0220,N,,,,,,N,,N,STATE WITHHOLDINGS,Y,SGOSS,2016-02-14,STATE WITHHOLDINGS,0,0,0,0,0,0,1,0220,0,0,0,0,0,0,0,,0,N,N
0220-000,Y,,,,,ALL,N,L,Y,PAYROLL STATE WITHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,PAYROLL STATE WITHOLDING,,,,,,2,0220,000,,,,,,,,0,N,N
0220-0AZ,Y,,,,,ALL,N,L,Y,AZ STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,AZ STATE WITHHOLDING,,,,,,2,0220,0AZ,,,,,,,,0,N,N
0220-0CA,Y,,,,,ALL,N,L,Y,CA STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,CA STATE WITHHOLDING,,,,,,2,0220,0CA,,,,,,,,0,N,N
0220-0CT,N,,,,,ALL,N,L,Y,CT STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,CT STATE WITHHOLDING,,,,,,2,0220,0CT,,,,,,,,0,N,N
0220-0DC,Y,,,,,ALL,N,L,Y,DC STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,DC STATE WITHHOLDING,,,,,,2,0220,0DC,,,,,,,,0,N,N
0220-0DE,N,,,,,ALL,N,L,Y,DE STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,DE STATE WITHHOLDING,,,,,,2,0220,0DE,,,,,,,,0,N,N
0220-0FL,Y,,,,,ALL,N,L,Y,FL STATE WITHHOLDING,N,JLAPINGTON,2017-02-28,STATE WITHHOLDINGS,FL STATE WITHHOLDING,0,0,0,0,0,2,0220,0FL,0,0,0,0,0,0,,1,N,N
0220-0GA,Y,,,,,ALL,N,L,Y,GA STATE WITHHOLDING,N,SGOSS,2016-02-14,STATE WITHHOLDINGS,GA STATE WITHHOLDING,,,,,,2,0220,0GA,,,,,,,,0,N,N
